train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,created_at,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.8183788657188416,0.005300809629261494,0.8183788657188416,49.0,0,2024-08-16 02:13:06.407803,,,,,,,,,
0.6565409302711487,0.009282225742936134,0.6565409302711487,99.0,0,2024-08-16 02:13:34.657591,,,,,,,,,
0.4956809878349304,0.003490751376375556,0.4956809878349304,149.0,0,2024-08-16 02:14:02.907238,,,,,,,,,
0.37351852655410767,0.0023211012594401836,0.37351852655410767,199.0,0,2024-08-16 02:14:31.142346,,,,,,,,,
0.27758270502090454,0.0016905468655750155,0.27758270502090454,249.0,0,2024-08-16 02:14:59.391738,,,,,,,,,
0.23650628328323364,0.0013726867036893964,0.23650628328323364,299.0,0,2024-08-16 02:15:27.647685,,,,,,,,,
0.18726027011871338,0.001961362548172474,0.18726027011871338,349.0,0,2024-08-16 02:15:55.902885,,,,,,,,,
0.21126395463943481,0.006202257703989744,0.21126395463943481,399.0,0,2024-08-16 02:16:24.144323,,,,,,,,,
0.1211027204990387,0.0008747645188122988,0.1211027204990387,449.0,0,2024-08-16 02:16:52.423470,,,,,,,,,
0.10535557568073273,0.0005785062094219029,0.10535557568073273,499.0,0,2024-08-16 02:17:20.663886,,,,,,,,,
0.17410728335380554,0.02542019635438919,0.17410728335380554,549.0,0,2024-08-16 02:17:48.926548,,,,,,,,,
0.10838092863559723,0.0020791867282241583,0.10838092863559723,599.0,0,2024-08-16 02:18:17.159164,,,,,,,,,
0.1013934463262558,0.0009699335787445307,0.1013934463262558,649.0,0,2024-08-16 02:18:45.396685,,,,,,,,,
0.0734425038099289,0.0004136950592510402,0.0734425038099289,699.0,0,2024-08-16 02:19:13.630668,,,,,,,,,
0.1045481413602829,0.0021351128816604614,0.1045481413602829,749.0,0,2024-08-16 02:19:41.895808,,,,,,,,,
0.053878895938396454,0.0002593076496850699,0.053878895938396454,799.0,0,2024-08-16 02:20:10.257292,,,,,,,,,
0.11889588087797165,0.005906354170292616,0.11889588087797165,849.0,0,2024-08-16 02:20:38.556553,,,,,,,,,
0.10102635622024536,0.0009620724595151842,0.10102635622024536,899.0,0,2024-08-16 02:21:06.800445,,,,,,,,,
0.06212427467107773,0.0003279044176451862,0.06212427467107773,949.0,0,2024-08-16 02:21:35.053741,,,,,,,,,
0.08784882724285126,0.006572168320417404,0.08784882724285126,999.0,0,2024-08-16 02:22:03.295557,,,,,,,,,
0.078056201338768,0.000428748142439872,0.078056201338768,1049.0,0,2024-08-16 02:22:31.549369,,,,,,,,,
0.07117076963186264,0.00048424137639813125,0.07117076963186264,1099.0,0,2024-08-16 02:22:59.802488,,,,,,,,,
0.06550193578004837,0.0005159838474355638,0.06550193578004837,1149.0,0,2024-08-16 02:23:28.062378,,,,,,,,,
0.06729593873023987,0.0005464255809783936,0.06729593873023987,1199.0,0,2024-08-16 02:23:56.295814,,,,,,,,,
0.08563927561044693,0.000747883110307157,0.08563927561044693,1249.0,0,2024-08-16 02:24:24.542249,,,,,,,,,
0.0729803740978241,0.0004071442235726863,0.0729803740978241,1299.0,0,2024-08-16 02:24:52.778845,,,,,,,,,
0.06681305170059204,0.00037152713048271835,0.06681305170059204,1349.0,0,2024-08-16 02:25:21.033777,,,,,,,,,
0.060525450855493546,0.0003575822338461876,0.060525450855493546,1399.0,0,2024-08-16 02:25:49.273941,,,,,,,,,
0.04864954948425293,0.0002397610805928707,0.04864954948425293,1449.0,0,2024-08-16 02:26:17.518525,,,,,,,,,
0.04389343410730362,0.000321636296575889,0.04389343410730362,1499.0,0,2024-08-16 02:26:45.761927,,,,,,,,,
0.03216775506734848,0.00015495330444537103,0.03216775506734848,1549.0,0,2024-08-16 02:27:14.039149,,,,,,,,,
0.061614833772182465,0.00033387879375368357,0.061614833772182465,1599.0,0,2024-08-16 02:27:42.312415,,,,,,,,,
0.05113516375422478,0.0004396238655317575,0.05113516375422478,1649.0,0,2024-08-16 02:28:10.559414,,,,,,,,,
0.05555638670921326,0.0003086240030825138,0.05555638670921326,1699.0,0,2024-08-16 02:28:38.795795,,,,,,,,,
0.0764308050274849,0.006485499441623688,0.0764308050274849,1749.0,0,2024-08-16 02:29:07.045921,,,,,,,,,
0.08418214321136475,0.00100599299184978,0.08418214321136475,1799.0,0,2024-08-16 02:29:35.286370,,,,,,,,,
